index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
691184,859,5,12/04/2013,709,1,1,0,0,7145.823999255005
467913,914,2,29/07/2014,1178,1,1,0,1,10263.527009879133
304890,888,2,23/06/2015,634,1,0,0,0,5636.269780926504
274018,442,2,04/11/2014,517,1,1,0,0,6279.093994419064
644430,34,6,09/03/2013,905,1,0,0,0,7086.360912966351
669009,199,4,10/07/2014,581,1,0,0,0,5261.6022391229735
518722,854,4,04/06/2015,657,1,1,1,0,6136.090241222256
505976,611,2,21/01/2014,485,1,1,0,0,6061.530480279905
291572,808,4,09/04/2015,528,1,0,0,1,4917.200373361437
39071,1105,4,22/01/2015,410,1,0,0,0,4098.576885321827
319154,866,5,24/04/2015,445,1,0,0,0,4267.1400174578575
166603,222,6,28/09/2013,367,1,0,0,0,3812.317607194276
428262,476,2,24/09/2013,753,1,1,0,0,7698.446837894598
20314,800,1,26/05/2014,494,1,0,0,0,4881.320468132199
603091,330,1,24/03/2014,408,1,0,0,0,4430.2819120457825
500421,507,3,07/01/2015,648,1,1,0,0,6983.054362365582
388016,98,7,02/06/2013,0,0,0,0,0,61.42606099364849
268257,1026,2,28/01/2014,1044,1,0,0,0,8090.678829540761
216326,990,5,04/10/2013,719,1,0,0,0,5902.807982722941
40755,8,6,10/01/2015,345,1,0,0,0,3710.497048406459
8654,611,3,31/07/2013,566,1,1,0,1,6536.673382909957
37301,257,2,13/08/2013,777,1,1,0,0,7874.961406340514
485623,840,4,16/04/2015,1189,1,1,0,0,10122.622139149655
214073,848,5,31/07/2015,998,1,1,0,1,8955.076267143191
406145,124,6,12/07/2014,297,1,0,0,0,3404.0381269615427
397642,1028,2,31/12/2013,438,1,0,0,1,4496.687268627826
273960,95,2,24/09/2013,1099,1,1,0,0,9841.675052758517
12104,208,1,28/10/2013,323,1,0,0,0,3934.9478557580246
361202,249,2,08/07/2014,449,1,0,0,0,4612.20407965872
79347,887,3,20/03/2013,614,1,1,0,0,6722.904254187005
462803,73,1,28/04/2014,601,1,1,0,1,6980.1687009893785
141713,13,4,02/04/2015,501,1,1,0,1,6153.653646337346
703618,1049,2,03/09/2013,580,1,0,0,1,5350.626215194544
308360,144,4,05/02/2015,769,1,1,0,0,7688.56508156775
317995,847,3,14/08/2013,1018,1,1,0,1,9230.380702131184
364408,796,3,08/05/2013,717,1,0,0,0,6073.25467095919
27886,396,4,11/06/2015,1139,1,0,0,0,8600.664629574741
706814,1080,7,15/09/2013,0,0,0,0,0,-80.59863331962742
514516,675,5,26/09/2014,338,1,0,0,0,3649.0143426313416
577373,1099,1,01/12/2014,1236,1,1,0,0,10600.498932494731
190561,791,1,11/05/2015,858,1,0,0,0,7079.377845251642
92512,1014,2,24/03/2015,1476,1,0,0,0,10699.553028317616
565163,487,2,04/11/2014,737,1,1,0,0,7600.295238698772
500246,427,3,13/02/2013,701,1,0,0,1,6093.595585951843
223708,254,5,14/11/2014,282,1,1,0,0,4656.360491422966
555732,43,5,31/01/2014,710,1,0,0,0,5985.455308288054
654150,1074,2,09/06/2015,421,1,0,0,0,4323.904771450012
558350,549,6,29/06/2013,380,1,0,0,0,3843.479813367905
52167,1095,2,08/01/2013,720,1,1,0,0,7409.765681327456
296981,295,1,28/10/2013,612,1,0,0,1,5730.02657981454
332143,319,1,14/10/2013,863,1,0,0,1,7241.3513512866975
426553,1002,4,10/04/2014,642,1,0,0,0,5513.603591758364
481847,448,6,06/12/2014,544,1,0,0,0,4847.834326145313
100496,527,2,03/09/2013,1046,1,0,0,1,8238.452161926682
706377,255,5,12/04/2013,652,1,1,0,0,6889.181847765106
599169,581,5,04/07/2014,651,1,1,0,0,6835.998077124138
55294,185,6,05/01/2013,550,1,0,0,0,4922.081748899093
218737,244,6,22/11/2014,538,1,0,0,0,4841.128178589394
266706,1082,6,05/01/2013,877,1,0,0,0,6765.809561140678
441953,216,5,20/03/2015,837,1,1,0,0,8011.305331868328
127184,350,4,05/03/2015,508,1,1,0,0,6083.625438481448
312223,748,1,31/03/2014,822,1,1,0,0,8152.755474710936
583377,718,1,08/12/2014,962,1,0,0,0,7717.580182021939
523743,739,5,21/02/2014,789,1,1,0,0,7645.982815122493
476775,614,7,21/12/2014,0,0,0,0,0,-13.201986120048446
620142,673,2,18/02/2014,615,1,1,0,0,6837.119160506006
460092,83,1,10/06/2013,367,1,0,0,0,4218.568256383802
169260,976,3,18/09/2013,598,1,0,0,0,5329.051490358878
177084,637,6,06/04/2013,518,1,0,0,0,4663.588511246026
645354,122,2,07/01/2014,714,1,1,0,0,7514.278464450669
645737,898,1,24/11/2014,1013,1,1,0,0,9283.754526344313
272578,1080,4,26/06/2014,710,1,0,0,0,5912.705545554904
600374,291,1,30/03/2015,1290,1,1,0,0,11043.250687956563
566038,24,4,03/01/2013,711,1,0,0,1,6135.001629783178
381862,1096,7,18/08/2013,0,0,0,0,0,-82.91268129214518
535335,637,5,30/05/2014,860,1,0,0,0,6804.802757446341
499411,1002,2,02/06/2015,850,1,1,0,0,8207.771701287322
625219,666,1,10/03/2014,497,1,0,0,0,4918.805749504795
61823,1089,7,24/11/2013,0,0,0,0,0,-81.90028530416873
653471,334,6,31/08/2013,515,1,0,0,0,4689.305665122821
441789,300,6,30/08/2014,951,1,0,0,1,7389.035727506749
155435,207,1,22/09/2014,1166,1,0,0,0,9022.633902131918
226567,683,3,27/05/2015,854,1,0,0,0,6916.398553291144
107330,1094,2,14/05/2013,394,1,1,0,0,5442.486225825799
149417,700,4,09/07/2015,576,1,0,0,0,5158.968395978912
191690,959,2,26/08/2014,744,1,0,0,0,6289.855945149663
146544,766,7,22/06/2014,0,0,0,0,0,-35.1854418589669
383603,1011,6,08/06/2013,977,1,0,0,0,7379.582469110731
452941,570,5,13/12/2013,676,1,0,0,0,5704.04488436197
629103,685,2,10/09/2013,689,1,1,0,0,7281.976821394702
30258,158,3,16/04/2014,681,1,1,0,1,7296.219834237671
219501,66,5,29/05/2015,522,1,0,0,1,4911.074617395771
528607,76,2,30/07/2013,1080,1,1,0,0,9729.757163908402
397525,572,3,16/10/2013,458,1,0,0,0,4542.575153536143
314281,184,6,11/10/2014,510,1,0,0,0,4680.824648860574
489418,1034,5,06/12/2013,775,1,1,0,0,7518.826950816317
182776,559,7,11/08/2013,0,0,0,0,0,-5.247446214518732
335928,862,2,23/12/2014,1561,1,0,0,1,11298.049030975923
198358,171,2,11/11/2014,962,1,1,0,0,9003.882406363009
400219,33,7,07/12/2014,0,0,0,0,0,70.82688088200177
427476,936,4,27/11/2014,963,1,1,0,0,8744.818087906613
31892,948,2,18/02/2014,1682,1,1,0,0,13236.737556360058
109374,371,6,04/05/2013,551,1,0,0,0,4901.215984419495
385320,242,1,05/05/2014,378,1,1,0,0,5546.378060633303
517169,133,5,17/01/2014,622,1,0,0,0,5441.354986761676
369733,1031,1,15/12/2014,681,1,1,0,0,7260.8846598673
71343,850,4,07/02/2013,710,1,1,0,0,7230.390165926122
42363,860,5,05/06/2015,833,1,1,0,0,7894.02472817081
612665,836,6,06/07/2013,301,1,0,0,0,3325.2031649881837
428563,965,6,30/11/2013,908,1,0,0,0,6969.817376168236
610249,1096,1,26/01/2015,763,1,1,0,0,7746.357382454392
669222,504,3,03/09/2014,836,1,1,0,1,8181.610242974583
484348,230,1,30/12/2013,1327,1,0,0,1,10054.483288360734
194089,826,1,02/12/2013,1170,1,1,0,0,10241.669524765093
328888,975,2,30/07/2013,767,1,1,0,1,7774.301946405764
485880,602,2,28/10/2014,547,1,0,0,1,5216.118504796396
699868,953,5,19/09/2014,553,1,1,0,0,6190.762228072933
265929,187,6,02/11/2013,491,1,0,0,0,4565.724944048246
154648,792,5,18/10/2013,599,1,0,0,0,5207.23914227244
376328,1035,4,27/11/2014,744,1,1,0,0,7408.825455075167
530275,523,3,29/07/2015,1515,1,1,0,1,12276.65664443194
441109,723,4,04/04/2013,461,1,0,0,1,4525.1458587537945
26050,1025,7,26/05/2013,0,0,0,0,0,-72.64409341409771
247671,18,7,04/01/2015,0,0,0,0,0,72.99630085623716
615467,997,3,03/09/2014,378,1,1,0,1,5346.2588537999945
267972,400,6,05/10/2013,805,1,0,0,0,6429.922745503001
22318,1047,2,09/07/2013,491,1,0,0,0,4750.26275146804
430083,819,1,02/09/2013,472,1,0,0,0,4745.801585744593
510014,668,1,02/06/2014,1562,1,1,0,0,12630.257683254367
343803,585,4,22/01/2015,666,1,0,0,0,5718.754503864188
85161,99,1,10/03/2014,404,1,0,0,0,4439.550806845326
505852,965,6,22/11/2014,847,1,0,0,0,6601.679740912112
266131,590,4,21/02/2013,376,1,1,0,0,5252.289016372235
397091,709,2,02/06/2015,1682,1,1,0,0,13271.303647949542
112013,58,7,20/10/2013,0,0,0,0,0,67.21118092494282
492019,409,7,09/02/2014,0,0,0,0,0,16.44675352783497
73240,850,6,04/04/2015,826,1,0,0,0,6491.5760534952615
203948,1058,3,06/03/2013,737,1,1,0,0,7440.483180193888
603210,1067,7,13/04/2014,0,0,0,0,0,-78.71846934195685
82813,777,1,21/04/2014,0,0,0,1,1,-283.7297691469274
634511,155,3,21/05/2014,632,1,1,0,0,6937.402726546251
28171,598,1,29/06/2015,871,1,1,0,0,8470.166791298372
198571,493,2,01/07/2014,902,1,1,0,0,8595.209598860885
70073,628,7,03/08/2014,0,0,0,0,1,48.307096745181695
551321,524,1,30/12/2013,1193,1,0,0,1,9203.266867942435
509286,966,4,04/04/2013,585,1,0,0,1,5238.346612085269
24413,1022,5,27/12/2013,791,1,0,0,1,6396.236872085333
367168,380,3,05/03/2014,1720,1,1,0,0,13470.988429533743
103724,132,3,14/01/2015,579,1,1,0,0,6620.871880857982
704886,400,5,26/06/2015,999,1,0,0,0,7677.9505979671485
568270,988,4,29/08/2013,790,1,1,0,0,7693.2349582367615
627934,906,2,19/03/2013,1476,1,1,0,0,11999.593032898385
520091,1028,2,05/11/2013,689,1,1,0,0,7232.369417983852
505933,1100,6,23/03/2013,484,1,0,0,0,4391.434279210012
67603,759,1,14/01/2013,607,1,0,0,0,5569.210097765742
96570,223,1,27/10/2014,716,1,0,0,0,6304.550413745373
696883,936,7,15/03/2015,0,0,0,0,0,-59.77220156696785
216455,780,6,11/07/2015,341,1,0,0,0,3574.7040609287983
472114,259,5,28/11/2014,2677,1,1,0,0,19109.565817635095
437836,131,6,09/11/2013,582,1,0,0,0,5123.013043235783
467331,251,3,28/01/2015,2241,1,1,0,0,16633.90294899152
423483,1079,6,17/01/2015,517,1,0,0,0,4593.627892804303
533535,1003,3,05/03/2014,1029,1,1,0,0,9210.670334768074
82465,980,4,05/09/2013,450,1,0,0,0,4358.057113143925
245480,654,2,27/01/2015,766,1,1,0,0,7751.158615812298
155723,966,4,25/07/2013,517,1,0,0,1,4827.963674422705
167485,1020,1,22/09/2014,929,1,0,0,0,7474.746100910305
574217,969,3,19/03/2014,610,1,1,0,0,6686.90458552417
307718,1038,2,07/04/2015,490,1,0,0,1,4809.063235092845
250666,516,3,09/07/2014,453,1,0,0,1,4584.032980276537
233447,733,1,14/01/2013,3171,1,0,0,0,21046.821192880114
9408,595,6,31/05/2014,1881,1,0,0,0,12895.426770027923
532318,260,3,16/07/2014,962,1,1,0,1,8977.314917871408
213221,768,6,02/02/2013,1251,1,0,0,0,9068.32890974544
149118,940,1,14/01/2013,627,1,0,0,0,5663.733294095036
643815,364,4,27/06/2013,563,1,0,0,0,5129.107841789823
205464,506,3,22/07/2015,763,1,0,0,1,6456.342652544579
172737,671,3,29/05/2013,507,1,1,0,1,6171.928154158731
358803,300,6,24/01/2015,862,1,0,0,0,6788.383007783681
432064,84,2,17/06/2014,1563,1,1,0,0,12643.52600596653
243176,219,4,07/05/2015,455,1,1,0,0,5782.714416607675
165487,934,5,22/03/2013,764,1,1,0,0,7466.904275434431
206630,125,3,01/04/2015,1906,1,1,0,1,14693.92047930806
380228,176,3,04/12/2013,757,1,1,0,0,7688.745938697329
278339,223,2,26/11/2013,675,1,0,0,0,5979.884171021994
125602,326,1,14/07/2014,429,1,1,0,0,5842.016512024508
707930,339,2,27/08/2013,745,1,1,0,0,7669.98052805192
647013,872,3,08/04/2015,659,1,0,0,1,5775.764312277551
404917,579,7,23/11/2014,0,0,0,0,0,-8.14000618016587
607690,974,5,28/02/2014,1599,1,0,0,0,11215.960047505108
63394,979,7,12/04/2015,0,0,0,0,0,-65.9912054931093
334403,880,3,04/06/2014,806,1,1,0,0,7882.6449447516325
440195,910,7,31/03/2013,0,0,0,0,0,-56.011873611626584
87636,1084,6,04/07/2015,614,1,0,0,0,5178.303943302138
189540,92,5,12/06/2015,453,1,0,0,0,4427.362433735763
18218,14,6,20/06/2015,402,1,0,0,0,4053.626742869208
396021,587,1,30/12/2013,960,1,0,0,1,7787.990238236272
442052,230,4,24/10/2013,856,1,1,0,0,8201.175832195513
397202,689,6,15/03/2014,589,1,0,0,0,5084.555922600667
251121,599,1,13/05/2013,1096,1,1,0,0,9827.906883507105
463013,596,7,22/12/2013,0,0,0,0,0,-10.598682150966056
655331,576,1,11/03/2013,749,1,0,0,0,6452.653155982061
327407,141,4,26/06/2014,493,1,0,0,0,4738.906861342385
355157,751,1,21/04/2014,0,0,0,1,1,-279.96944119158604
654124,877,5,01/03/2013,925,1,0,0,0,7162.36984591838
602473,375,2,23/04/2013,948,1,1,0,0,8889.887689900526
414480,230,1,08/12/2014,988,1,0,0,0,7945.069768407651
574764,545,3,22/01/2014,1087,1,1,0,0,9626.942463634758
136740,1022,1,04/03/2013,1093,1,1,0,0,9748.624110630906
240843,597,3,20/08/2014,756,1,1,0,1,7685.356383060721
130323,559,7,08/06/2014,0,0,0,0,0,-5.247446214518732
688030,1024,6,18/07/2015,825,1,0,0,0,6460.375738593211
43133,36,2,17/03/2015,1205,1,1,0,0,10489.922683954701
172856,702,2,28/05/2013,351,1,1,0,1,5303.2074183541035
446048,623,7,10/02/2013,0,0,0,0,0,-14.50363810458964
36534,105,4,17/10/2013,483,1,0,0,0,4683.763037271349
612801,902,2,19/11/2013,648,1,1,0,0,7003.155774529708
256750,11,6,11/04/2015,786,1,0,0,0,6371.517216017358
623446,1039,5,28/06/2013,629,1,0,0,0,5352.5673227243
63314,102,1,16/02/2015,1174,1,1,0,0,10370.5203683252
238452,543,5,18/10/2013,175,1,0,0,1,2747.9270714958266
43919,827,4,02/01/2014,1910,1,0,0,1,13254.882145065596
258378,110,3,08/10/2014,647,1,1,0,0,7034.436634482759
59774,945,1,05/01/2015,698,1,1,0,1,7439.452276976407
31637,582,3,12/03/2014,749,1,0,0,0,6297.326445021056
673741,554,4,16/01/2014,428,1,0,0,0,4286.897689991968
659942,486,2,08/07/2014,384,1,0,0,1,4249.18331084718
349639,637,6,15/02/2014,520,1,0,0,0,4675.658597647866
394865,806,5,31/01/2014,578,1,0,0,0,5078.478443077167
255648,887,6,21/06/2014,462,1,0,0,0,4289.469092423913
379128,374,6,04/04/2015,668,1,0,0,0,5606.882154932296
540897,1025,5,04/01/2013,804,1,0,0,1,6474.2585497024465
662220,638,2,06/08/2013,431,1,0,0,1,4510.846885551505
160268,123,6,09/05/2015,490,1,0,0,0,4568.946092737397
654290,905,4,19/02/2015,1108,1,1,0,0,9624.382819986775
599039,536,5,05/04/2013,989,1,0,0,1,7661.4646330327305
651027,763,7,01/02/2015,0,0,0,0,0,-34.75155786411983
553569,191,6,10/08/2013,694,1,0,0,0,5790.260201841888
271750,957,4,20/02/2014,948,1,1,0,0,8651.255251928884
709864,268,4,04/06/2015,618,1,1,0,0,6759.339686441809
300796,654,6,07/09/2013,266,1,0,0,0,3140.2989486433707
413674,612,6,07/09/2013,388,1,0,0,0,3882.648595083477
8402,747,3,27/08/2014,567,1,0,0,1,5238.618837578199
310059,656,6,18/05/2013,380,1,0,0,0,3828.0046175516927
319105,368,5,05/04/2013,592,1,0,0,1,5289.8499859789035
689752,959,3,18/09/2013,552,1,0,0,0,5053.898179087356
516276,329,2,03/02/2015,708,1,1,0,0,7448.130209600701
338342,97,3,22/07/2015,535,1,0,0,1,5139.50565403229
666229,314,2,13/08/2013,661,1,1,0,1,7230.186473972878
8353,463,7,11/01/2015,0,0,0,0,0,8.636841620587688
386012,258,1,20/05/2013,0,0,0,1,0,-272.20171287956657
471619,283,3,13/11/2013,621,1,0,0,0,5568.0846867897135
612347,556,1,15/04/2013,754,1,0,0,0,6485.720931952309
514445,388,5,24/01/2014,1211,1,1,0,0,10243.535473307864
396179,67,3,03/09/2014,837,1,1,0,1,8250.847721424896
590638,725,5,16/01/2015,677,1,1,0,0,6972.082768595398
683448,219,4,06/06/2013,416,1,1,0,0,5547.3477317717925
218062,1077,2,10/02/2015,479,1,0,0,0,4673.503393108529
706606,322,4,23/05/2013,589,1,0,0,0,5292.093340941605
453487,814,3,20/02/2013,581,1,1,0,1,6597.839547272438
240904,134,7,30/06/2013,0,0,0,0,0,56.21945305548354
326681,54,4,11/07/2013,657,1,0,0,0,5741.236582143841
272937,662,5,26/04/2013,854,1,1,0,0,8049.396979050037
11415,126,7,19/04/2015,0,0,0,0,0,57.37647704174242
436957,1001,6,30/11/2013,471,1,0,0,0,4327.296889428005
171033,657,4,13/02/2014,598,1,0,0,0,5297.958350325295
632521,590,4,14/03/2013,319,1,0,0,0,3623.8713731535163
179002,193,3,25/12/2013,0,0,0,1,1,-353.7259611213416
345971,168,6,21/09/2013,465,1,0,0,0,4411.561752791689
463457,16,1,22/07/2013,839,1,0,0,0,7076.798723102987
674866,244,1,04/02/2013,738,1,1,0,0,7718.70435696796
479231,545,7,08/02/2015,0,0,0,0,0,-3.222654238565724
369184,1032,6,19/01/2013,492,1,0,0,0,4449.549328700573
564608,290,5,31/05/2013,987,1,1,0,0,8905.859340133444
421305,548,4,24/01/2013,335,1,1,0,0,5010.926621062372
312789,733,1,04/08/2014,3508,1,1,0,1,24428.584807197632
548456,654,4,06/06/2013,716,1,1,0,0,7294.947512794985
195259,272,6,04/05/2013,377,1,0,0,0,3865.4366392893585
669573,1017,3,20/03/2013,1176,1,1,0,0,10095.79689332737
599293,708,2,20/05/2014,462,1,1,0,0,5908.695570825354
33900,819,4,08/01/2015,454,1,1,0,0,5689.90257443734
74619,99,3,26/06/2013,372,1,0,0,0,4091.9704814445736
284898,982,2,10/12/2013,710,1,0,0,0,6081.338032357887
402135,683,5,03/04/2015,0,0,1,1,1,705.3675575152666
447277,194,3,16/10/2013,373,1,0,0,0,4084.265864808669
588164,853,2,30/06/2015,1201,1,1,0,0,10347.621436554335
456931,53,1,28/04/2014,650,1,1,0,1,7278.778377800108
221701,281,4,07/02/2013,508,1,1,0,0,6093.604770362931
535271,101,2,02/09/2014,879,1,1,0,0,8513.097780566408
171677,440,5,05/06/2015,769,1,1,0,1,7632.059597431699
226127,994,2,18/03/2014,435,1,1,0,0,5704.385796891757
414979,168,2,30/07/2013,930,1,1,0,1,8874.728782769598
500051,48,7,27/10/2013,0,0,0,0,0,68.65746090776639
329177,652,6,15/02/2014,501,1,0,0,0,4558.82335685615
541113,934,6,11/01/2014,474,1,0,0,0,4355.0920949156825
124681,223,6,29/03/2014,589,1,0,0,0,5151.952569800246
284177,378,5,26/12/2014,0,0,0,1,1,-534.9410837748892
90749,865,3,17/07/2013,624,1,1,0,0,6786.436502158417
237894,466,5,31/01/2014,861,1,0,0,0,6835.569188353545
506152,789,5,14/02/2014,546,1,0,0,0,4887.815736618525
622882,61,7,07/06/2015,0,0,0,0,0,66.7772969300957
34430,765,4,19/12/2013,1068,1,1,0,0,9403.229011709504
268594,673,1,23/02/2015,500,1,0,0,0,4935.8984831195785
368485,258,3,25/06/2014,444,1,0,0,0,4503.497740183922
602478,740,3,08/10/2014,499,1,1,0,0,6050.134601828705
202788,1080,1,16/09/2013,764,1,0,0,0,6470.286292861554
675955,918,5,20/06/2014,661,1,1,0,0,6847.608873712184
611958,857,6,22/06/2013,1004,1,0,0,0,7564.801347271056
597571,837,1,01/07/2013,482,1,1,0,0,6087.968894550987
317074,516,7,01/03/2015,0,0,0,0,0,0.9715577116226086
380943,446,2,27/05/2014,505,1,0,0,0,4921.674783248618
649251,835,4,30/05/2013,0,0,1,1,0,697.0796984208207
386136,140,7,03/02/2013,0,0,0,0,0,55.35168506578941
411910,207,3,14/08/2013,1584,1,1,0,0,12675.243197911463
119756,961,4,29/01/2015,668,1,1,0,0,6960.864643678137
251963,772,2,18/03/2014,507,1,1,0,0,6171.016322976685
292719,1089,2,02/09/2014,1050,1,1,0,0,9402.197705620769
77065,521,3,05/03/2014,421,1,1,0,0,5611.074763780775
206967,823,5,17/01/2014,600,1,0,0,0,5208.790717526607
521339,436,6,14/09/2013,426,1,0,0,0,4137.434764416135
363365,483,7,09/03/2014,0,0,0,0,0,5.744281654940437
481077,215,2,25/03/2014,333,1,0,0,0,3917.056420293593
711386,109,5,29/05/2015,802,1,0,0,0,6531.133834886063
66970,858,1,16/12/2013,590,1,1,0,0,6736.716372286423
435729,425,4,05/03/2015,501,1,1,0,0,6030.533036203832
426284,357,5,24/07/2015,905,1,0,0,1,7180.409415847988
435236,255,1,02/02/2015,575,1,1,0,0,6733.401407236884
199039,798,6,07/02/2015,343,1,0,0,0,3584.170843361556
99250,366,6,23/03/2013,304,1,0,0,0,3411.2834537836525
580140,534,2,07/04/2015,510,1,0,0,1,5002.6566102455545
254820,179,5,20/06/2014,1176,1,1,0,0,10062.536212916675
155130,258,2,03/09/2013,464,1,0,0,1,4764.961950529162
503682,693,5,29/08/2014,384,1,0,0,1,3987.5569007457652
288534,999,4,24/10/2013,685,1,1,0,1,7121.498389000232
67050,834,6,19/04/2014,492,1,0,0,0,4478.18567236048
174771,512,4,31/10/2013,1410,1,0,0,1,10282.91836406451
442288,818,2,23/04/2013,662,1,1,0,0,7099.795131198306
606734,534,6,12/10/2013,606,1,0,0,0,5209.568996750074
431156,1084,2,17/12/2013,1099,1,1,0,0,9698.637962457266
424121,34,2,10/03/2015,861,1,0,0,0,7129.7368980684905
557753,101,4,27/03/2014,686,1,0,0,0,5909.4553190512515
520831,187,1,02/03/2015,885,1,1,0,0,8614.099503405301
376589,20,1,23/09/2013,1041,1,1,0,0,9579.719118461984
7670,828,7,26/10/2014,0,0,0,0,0,-44.15237775247317
303546,434,1,12/08/2013,823,1,1,0,1,8267.7375842137
236740,738,1,04/05/2015,864,1,1,0,0,8407.673569132403
145734,351,5,07/03/2014,569,1,1,0,0,6374.388974253635
134420,1020,4,30/01/2014,905,1,0,0,0,7098.2166496312575
691699,86,7,11/08/2013,0,0,0,0,0,63.16159697303675
233889,266,3,17/06/2015,573,1,1,0,0,6565.281469882627
653554,608,5,20/06/2014,1024,1,1,0,0,9083.164235113694
481046,708,5,21/02/2014,493,1,1,0,1,5927.627370438092
423103,734,3,05/02/2014,605,1,1,0,0,6690.716949115925
693486,776,7,07/06/2015,0,0,0,0,0,-36.63172184179052
90193,1060,2,09/04/2013,853,1,1,0,0,8217.488406989705
119482,182,2,29/04/2014,507,1,1,0,0,6256.346841963276
525167,542,3,16/01/2013,431,1,0,0,0,4383.967827059772
239754,602,1,06/05/2013,610,1,0,0,0,5610.021823098833
332806,101,4,07/11/2013,777,1,1,0,0,7743.064431101252
142056,784,7,30/06/2013,0,0,0,0,0,-37.7887458280494
673000,679,7,17/11/2013,0,0,0,0,0,-22.602806008401785
567353,535,4,14/08/2014,793,1,0,0,1,6555.970265136338
696641,844,4,06/02/2014,516,1,1,0,0,6060.459552937325
628766,595,7,24/05/2015,0,0,0,0,0,-10.454054152683625
544695,25,6,30/03/2013,1831,1,0,0,0,12676.112569002864
652921,416,3,03/12/2014,1819,1,1,0,0,14063.251098486664
